id,code_station,code_polluant,insee_com,valeur,date_mesure
2026-06-10 22:00:00FR23239_NO2_A,FR23239,3,44020,4.5,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23239_PM10_1,FR23239,24,44020,6.7,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23239_PM2.5_6,FR23239,39,44020,3.3,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23242_NO2_1,FR23242,3,49007,19.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23242_PM10_1,FR23242,24,49007,9.9,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23242_PM2.5_1,FR23242,39,49007,3.5,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23249_NO2_A,FR23249,3,44103,1.5,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23249_PM10_1,FR23249,24,44103,6.1,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23249_PM2.5_1,FR23249,39,44103,3.2,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23249_SO2_A,FR23249,1,44103,0.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23251_NO2_1,FR23251,3,44109,14.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23251_PM2.5_1,FR23251,39,44109,7.9,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23252_NO2_1,FR23252,3,53130,6.6,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23252_PM2.5_1,FR23252,39,53130,7.1,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23259_PM10_1,FR23259,24,44109,7.9,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23259_PM2.5_1,FR23259,39,44109,3.7,2026-06-10 22:00:00+00:00
2026-06-10 21:00:00FR23001_SO2_A,FR23001,1,44052,0.25,2026-06-10 21:00:00+00:00
2026-06-10 21:00:00FR23003_NO2_A,FR23003,3,44052,1.1,2026-06-10 21:00:00+00:00
2026-06-10 21:00:00FR23003_PM10_1,FR23003,24,44052,6.8,2026-06-10 21:00:00+00:00
2026-06-10 21:00:00FR23003_PM2.5_1,FR23003,39,44052,3.5,2026-06-10 21:00:00+00:00
2026-06-10 21:00:00FR23003_SO2_A,FR23003,1,44052,0.0,2026-06-10 21:00:00+00:00
2026-06-10 21:00:00FR23068_NO2_A,FR23068,3,44061,1.1,2026-06-10 21:00:00+00:00
2026-06-10 21:00:00FR23068_PM10_4,FR23068,24,44061,7.8,2026-06-10 21:00:00+00:00
